codice_parametro_arpa;categoria_parametro_arpa;codice_punto;data_misura;ora_misura;anno_monitoraggio;valore;valore_validato;gwbregcod;data
P00010;A;00425010001;2001-08-21;06:00:00;2001;4,77;4,77;GWB-S6;2001-08-21 06:00:00
P00010;A;00425010001;2001-08-21;12:00:00;2001;4,6;4,6;GWB-S6;2001-08-21 12:00:00
P00010;A;00425010001;2001-08-21;18:00:00;2001;4,59;4,59;GWB-S6;2001-08-21 18:00:00
P00010;A;00425010001;2001-08-22;00:00:00;2001;4,53;4,53;GWB-S6;2001-08-22 00:00:00
P00010;A;00425010001;2001-08-22;06:00:00;2001;4,51;4,51;GWB-S6;2001-08-22 06:00:00
P00010;A;00425010001;2001-08-22;12:00:00;2001;4,57;4,57;GWB-S6;2001-08-22 12:00:00
P00010;A;00425010001;2001-08-22;18:00:00;2001;4,53;4,53;GWB-S6;2001-08-22 18:00:00
P00010;A;00425010001;2001-08-23;00:00:00;2001;4,48;4,48;GWB-S6;2001-08-23 00:00:00
P00010;A;00425010001;2001-08-23;06:00:00;2001;4,82;4,82;GWB-S6;2001-08-23 06:00:00
P00010;A;00425010001;2001-08-23;12:00:00;2001;4,96;4,96;GWB-S6;2001-08-23 12:00:00
P00010;A;00425010001;2001-08-23;18:00:00;2001;4,6;4,6;GWB-S6;2001-08-23 18:00:00
P00010;A;00425010001;2001-08-24;00:00:00;2001;4,53;4,53;GWB-S6;2001-08-24 00:00:00
P00010;A;00425010001;2001-08-24;06:00:00;2001;4,51;4,51;GWB-S6;2001-08-24 06:00:00
P00010;A;00425010001;2001-08-24;12:00:00;2001;4,54;4,54;GWB-S6;2001-08-24 12:00:00
P00010;A;00425010001;2001-08-24;18:00:00;2001;4,51;4,51;GWB-S6;2001-08-24 18:00:00
P00010;A;00425010001;2001-08-25;00:00:00;2001;4,5;4,5;GWB-S6;2001-08-25 00:00:00
P00010;A;00425010001;2001-08-25;06:00:00;2001;4,49;4,49;GWB-S6;2001-08-25 06:00:00
P00010;A;00425010001;2001-08-25;12:00:00;2001;4,53;4,53;GWB-S6;2001-08-25 12:00:00
P00010;A;00425010001;2001-08-25;18:00:00;2001;4,54;4,54;GWB-S6;2001-08-25 18:00:00
P00010;A;00425010001;2001-08-26;00:00:00;2001;4,5;4,5;GWB-S6;2001-08-26 00:00:00
P00010;A;00425010001;2001-08-26;06:00:00;2001;4,49;4,49;GWB-S6;2001-08-26 06:00:00
P00010;A;00425010001;2001-08-26;12:00:00;2001;4,5;4,5;GWB-S6;2001-08-26 12:00:00
P00010;A;00425010001;2001-08-26;18:00:00;2001;4,49;4,49;GWB-S6;2001-08-26 18:00:00
P00010;A;00425010001;2001-08-27;00:00:00;2001;4,49;4,49;GWB-S6;2001-08-27 00:00:00
P00010;A;00425010001;2001-08-27;06:00:00;2001;4,94;4,94;GWB-S6;2001-08-27 06:00:00
P00010;A;00425010001;2001-08-27;12:00:00;2001;5,17;5,17;GWB-S6;2001-08-27 12:00:00
P00010;A;00425010001;2001-08-27;18:00:00;2001;5,25;5,25;GWB-S6;2001-08-27 18:00:00
P00010;A;00425010001;2001-08-28;00:00:00;2001;4,64;4,64;GWB-S6;2001-08-28 00:00:00
P00010;A;00425010001;2001-08-28;06:00:00;2001;4,59;4,59;GWB-S6;2001-08-28 06:00:00
P00010;A;00425010001;2001-08-28;12:00:00;2001;4,61;4,61;GWB-S6;2001-08-28 12:00:00
P00010;A;00425010001;2001-08-28;18:00:00;2001;4,57;4,57;GWB-S6;2001-08-28 18:00:00
P00010;A;00425010001;2001-08-29;00:00:00;2001;4,55;4,55;GWB-S6;2001-08-29 00:00:00
