codice_parametro_arpa;categoria_parametro_arpa;codice_punto;data_misura;ora_misura;anno_monitoraggio;valore;valore_validato;gwbregcod;data
P00010;A;00417910001;2001-02-08;16:00:00;2001;4,48;4,48;GWB-S6;2001-02-08 16:00:00
P00010;A;00417910001;2001-02-08;20:00:00;2001;4,47;4,47;GWB-S6;2001-02-08 20:00:00
P00010;A;00417910001;2001-02-09;00:00:00;2001;4,35;4,35;GWB-S6;2001-02-09 00:00:00
P00010;A;00417910001;2001-02-09;04:00:00;2001;4,32;4,32;GWB-S6;2001-02-09 04:00:00
P00010;A;00417910001;2001-02-09;08:00:00;2001;4,44;4,44;GWB-S6;2001-02-09 08:00:00
P00010;A;00417910001;2001-02-09;12:00:00;2001;4,43;4,43;GWB-S6;2001-02-09 12:00:00
P00010;A;00417910001;2001-02-09;16:00:00;2001;4,38;4,38;GWB-S6;2001-02-09 16:00:00
P00010;A;00417910001;2001-02-09;20:00:00;2001;4,44;4,44;GWB-S6;2001-02-09 20:00:00
P00010;A;00417910001;2001-02-10;00:00:00;2001;4,36;4,36;GWB-S6;2001-02-10 00:00:00
P00010;A;00417910001;2001-02-10;04:00:00;2001;4,35;4,35;GWB-S6;2001-02-10 04:00:00
P00010;A;00417910001;2001-02-10;08:00:00;2001;4,33;4,33;GWB-S6;2001-02-10 08:00:00
P00010;A;00417910001;2001-02-10;12:00:00;2001;4,31;4,31;GWB-S6;2001-02-10 12:00:00
P00010;A;00417910001;2001-02-10;16:00:00;2001;4,29;4,29;GWB-S6;2001-02-10 16:00:00
P00010;A;00417910001;2001-02-10;20:00:00;2001;4,28;4,28;GWB-S6;2001-02-10 20:00:00
P00010;A;00417910001;2001-02-11;00:00:00;2001;4,27;4,27;GWB-S6;2001-02-11 00:00:00
P00010;A;00417910001;2001-02-11;04:00:00;2001;4,26;4,26;GWB-S6;2001-02-11 04:00:00
P00010;A;00417910001;2001-02-11;08:00:00;2001;4,26;4,26;GWB-S6;2001-02-11 08:00:00
P00010;A;00417910001;2001-02-11;12:00:00;2001;4,25;4,25;GWB-S6;2001-02-11 12:00:00
P00010;A;00417910001;2001-02-11;16:00:00;2001;4,25;4,25;GWB-S6;2001-02-11 16:00:00
P00010;A;00417910001;2001-02-11;20:00:00;2001;4,24;4,24;GWB-S6;2001-02-11 20:00:00
P00010;A;00417910001;2001-02-12;00:00:00;2001;4,24;4,24;GWB-S6;2001-02-12 00:00:00
P00010;A;00417910001;2001-02-12;04:00:00;2001;4,23;4,23;GWB-S6;2001-02-12 04:00:00
P00010;A;00417910001;2001-02-12;08:00:00;2001;4,23;4,23;GWB-S6;2001-02-12 08:00:00
P00010;A;00417910001;2001-02-12;12:00:00;2001;4,31;4,31;GWB-S6;2001-02-12 12:00:00
P00010;A;00417910001;2001-02-12;16:00:00;2001;4,35;4,35;GWB-S6;2001-02-12 16:00:00
P00010;A;00417910001;2001-02-12;20:00:00;2001;4,45;4,45;GWB-S6;2001-02-12 20:00:00
P00010;A;00417910001;2001-02-13;00:00:00;2001;4,36;4,36;GWB-S6;2001-02-13 00:00:00
P00010;A;00417910001;2001-02-13;04:00:00;2001;4,35;4,35;GWB-S6;2001-02-13 04:00:00
P00010;A;00417910001;2001-02-13;08:00:00;2001;4,38;4,38;GWB-S6;2001-02-13 08:00:00
P00010;A;00417910001;2001-02-13;12:00:00;2001;4,35;4,35;GWB-S6;2001-02-13 12:00:00
P00010;A;00417910001;2001-02-13;16:00:00;2001;4,41;4,41;GWB-S6;2001-02-13 16:00:00
P00010;A;00417910001;2001-02-13;20:00:00;2001;4,38;4,38;GWB-S6;2001-02-13 20:00:00
P00010;A;00417910001;2001-02-14;00:00:00;2001;4,4;4,4;GWB-S6;2001-02-14 00:00:00
P00010;A;00417910001;2001-02-14;04:00:00;2001;4,35;4,35;GWB-S6;2001-02-14 04:00:00
P00010;A;00417910001;2001-02-14;08:00:00;2001;4,35;4,35;GWB-S6;2001-02-14 08:00:00
P00010;A;00417910001;2001-02-14;12:00:00;2001;4,36;4,36;GWB-S6;2001-02-14 12:00:00
P00010;A;00417910001;2001-02-14;16:00:00;2001;4,46;4,46;GWB-S6;2001-02-14 16:00:00
P00010;A;00417910001;2001-02-14;20:00:00;2001;4,52;4,52;GWB-S6;2001-02-14 20:00:00
P00010;A;00417910001;2001-02-15;00:00:00;2001;4,51;4,51;GWB-S6;2001-02-15 00:00:00
P00010;A;00417910001;2001-02-15;04:00:00;2001;4,37;4,37;GWB-S6;2001-02-15 04:00:00
P00010;A;00417910001;2001-02-15;08:00:00;2001;4,48;4,48;GWB-S6;2001-02-15 08:00:00
P00010;A;00417910001;2001-02-15;12:00:00;2001;4,44;4,44;GWB-S6;2001-02-15 12:00:00
P00010;A;00417910001;2001-02-15;16:00:00;2001;4,4;4,4;GWB-S6;2001-02-15 16:00:00
P00010;A;00417910001;2001-02-15;20:00:00;2001;4,42;4,42;GWB-S6;2001-02-15 20:00:00
P00010;A;00417910001;2001-02-16;00:00:00;2001;4,5;4,5;GWB-S6;2001-02-16 00:00:00
P00010;A;00417910001;2001-02-16;04:00:00;2001;4,52;4,52;GWB-S6;2001-02-16 04:00:00
P00010;A;00417910001;2001-02-16;08:00:00;2001;4,39;4,39;GWB-S6;2001-02-16 08:00:00
P00010;A;00417910001;2001-02-16;12:00:00;2001;4,4;4,4;GWB-S6;2001-02-16 12:00:00
P00010;A;00417910001;2001-02-16;16:00:00;2001;4,52;4,52;GWB-S6;2001-02-16 16:00:00
P00010;A;00417910001;2001-02-16;20:00:00;2001;4,44;4,44;GWB-S6;2001-02-16 20:00:00
P00010;A;00417910001;2001-02-17;00:00:00;2001;4,54;4,54;GWB-S6;2001-02-17 00:00:00
P00010;A;00417910001;2001-02-17;04:00:00;2001;4,48;4,48;GWB-S6;2001-02-17 04:00:00
P00010;A;00417910001;2001-02-17;08:00:00;2001;4,38;4,38;GWB-S6;2001-02-17 08:00:00
P00010;A;00417910001;2001-02-17;12:00:00;2001;4,36;4,36;GWB-S6;2001-02-17 12:00:00
P00010;A;00417910001;2001-02-17;16:00:00;2001;4,34;4,34;GWB-S6;2001-02-17 16:00:00
P00010;A;00417910001;2001-02-17;20:00:00;2001;4,33;4,33;GWB-S6;2001-02-17 20:00:00
P00010;A;00417910001;2001-02-18;00:00:00;2001;4,32;4,32;GWB-S6;2001-02-18 00:00:00
P00010;A;00417910001;2001-02-18;04:00:00;2001;4,31;4,31;GWB-S6;2001-02-18 04:00:00
P00010;A;00417910001;2001-02-18;08:00:00;2001;4,31;4,31;GWB-S6;2001-02-18 08:00:00
P00010;A;00417910001;2001-02-18;12:00:00;2001;4,3;4,3;GWB-S6;2001-02-18 12:00:00
P00010;A;00417910001;2001-02-18;16:00:00;2001;4,29;4,29;GWB-S6;2001-02-18 16:00:00
P00010;A;00417910001;2001-02-18;20:00:00;2001;4,29;4,29;GWB-S6;2001-02-18 20:00:00
P00010;A;00417910001;2001-02-19;00:00:00;2001;4,28;4,28;GWB-S6;2001-02-19 00:00:00
P00010;A;00417910001;2001-02-19;04:00:00;2001;4,28;4,28;GWB-S6;2001-02-19 04:00:00
P00010;A;00417910001;2001-02-19;08:00:00;2001;4,3;4,3;GWB-S6;2001-02-19 08:00:00
P00010;A;00417910001;2001-02-19;12:00:00;2001;4,36;4,36;GWB-S6;2001-02-19 12:00:00
P00010;A;00417910001;2001-02-19;16:00:00;2001;4,46;4,46;GWB-S6;2001-02-19 16:00:00
P00010;A;00417910001;2001-02-19;20:00:00;2001;4,45;4,45;GWB-S6;2001-02-19 20:00:00
P00010;A;00417910001;2001-02-20;00:00:00;2001;4,49;4,49;GWB-S6;2001-02-20 00:00:00
P00010;A;00417910001;2001-02-20;04:00:00;2001;4,47;4,47;GWB-S6;2001-02-20 04:00:00
P00010;A;00417910001;2001-02-20;08:00:00;2001;4,39;4,39;GWB-S6;2001-02-20 08:00:00
P00010;A;00417910001;2001-02-20;12:00:00;2001;4,5;4,5;GWB-S6;2001-02-20 12:00:00
P00010;A;00417910001;2001-02-20;16:00:00;2001;4,4;4,4;GWB-S6;2001-02-20 16:00:00
P00010;A;00417910001;2001-02-20;20:00:00;2001;4,53;4,53;GWB-S6;2001-02-20 20:00:00
P00010;A;00417910001;2001-02-21;00:00:00;2001;4,41;4,41;GWB-S6;2001-02-21 00:00:00
P00010;A;00417910001;2001-02-21;04:00:00;2001;4,5;4,5;GWB-S6;2001-02-21 04:00:00
P00010;A;00417910001;2001-02-21;08:00:00;2001;4,47;4,47;GWB-S6;2001-02-21 08:00:00
P00010;A;00417910001;2001-02-21;12:00:00;2001;4,44;4,44;GWB-S6;2001-02-21 12:00:00
P00010;A;00417910001;2001-02-21;16:00:00;2001;4,54;4,54;GWB-S6;2001-02-21 16:00:00
